,56000,96000,92000,11000,10000,99000,55000,43000,17000,93000,39000,57000,29000,38000,76000,21000,33000,47000,24000,64000,35000,13000,9000,80000,25000,54000,62000,61000,72000,40000
car-train,100,100,99,98,97,95,94,89,85,85,83,83,80,79,77,75,74,73,72,70,69,68,61,61,60,58,47,47,46,43
car-test,19,62,25,9,7,0,5,28,0,0,0,0,0,84,18,11,80,31,4,17,51,0,2,0,53,0,0,0,0,0
