step_size,num_minibatches,rollout_steps,entropy_coef,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,auc_seed_11000,auc_seed_12000,auc_seed_13000,auc_seed_14000,mean_auc,std_auc,min_auc,max_auc,n_seeds,file_name
9.48683298050514e-05,72,5000,0.0,-10794.737788348837,133179.2244553728,-25168.253708116834,-27297.77028516872,-32610.955069009713,116917.35479610613,453667.0015549617,-31833.54586259045,169885.816325453,-22655.519466963717,460452.3059545432,457341.47350503295,-24116.784239870434,-33556.824786512516,113100.62752749205,191603.62204721037,-33556.824786512516,460452.3059545432,18,car-train_10000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_1000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_11000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_12000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_13000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_14000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_2000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_3000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_4000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_5000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_6000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_7000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_8000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0;car-train_9000_5000000_ss_9.48683298050514e-05_m_72_r_5000_e_0.0
0.0030000000000000014,72,3875,0.0,309128.7295295669,-48698.08340607861,-12462.165678430918,5634.145976049849,-29157.654906107007,-34819.53269941408,-40646.68861502841,453644.70823243726,-42065.00821280285,-6716.680779853903,-8165.558406493225,396658.2076231076,22920.329684469845,-41313.351680314605,65995.81404722198,170734.17640397098,-48698.08340607861,453644.70823243726,18,car-train_10000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_1000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_11000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_12000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_13000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_14000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_2000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_3000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_4000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_5000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_6000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_7000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_8000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0;car-train_9000_5000000_ss_0.0030000000000000014_m_72_r_3875_e_0.0
9.48683298050514e-05,44,2750,0.0,-23092.563445187618,-37820.83543771894,-23940.563370575615,-27494.348354838065,-19454.745325032658,303737.74948567216,-25213.502057463633,-35502.6987556481,-18421.3201995502,-20125.41139913997,444743.58631920064,469443.17756313155,-22675.73020388479,-40768.46532773838,65958.16639223046,180873.22197670327,-40768.46532773838,469443.17756313155,18,car-train_10000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_1000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_11000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_12000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_13000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_14000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_2000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_3000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_4000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_5000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_6000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_7000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_8000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0;car-train_9000_5000000_ss_9.48683298050514e-05_m_44_r_2750_e_0.0
9.48683298050514e-05,128,3875,0.0,224388.0463291301,-20546.026377790244,-28324.51080942969,-36400.05593951408,-34360.274701305214,-27021.893521698523,458169.7878155678,-41159.75828515737,-33734.784689536624,471448.1677146293,-27911.361884740145,-32792.458966965845,-34345.122997524915,-30380.176184639844,57644.96982150177,178737.8397186239,-41159.75828515737,471448.1677146293,18,car-train_10000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_1000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_11000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_12000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_13000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_14000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_2000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_3000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_4000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_5000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_6000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_7000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_8000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0;car-train_9000_5000000_ss_9.48683298050514e-05_m_128_r_3875_e_0.0
0.0030000000000000014,44,3875,0.0,-33357.78418730076,-39310.38842752836,208368.927740479,444687.7720215956,-39615.36275684931,377618.0173319145,-19939.215263747927,-42372.311387608555,-40113.19321105818,-35428.42947160069,-39449.49761277773,-41721.18629485249,-39843.51588850594,-39660.361222191765,44275.96224071196,163019.9730500144,-42372.311387608555,444687.7720215956,18,car-train_10000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_1000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_11000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_12000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_13000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_14000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_2000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_3000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_4000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_5000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_6000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_7000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_8000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0;car-train_9000_5000000_ss_0.0030000000000000014_m_44_r_3875_e_0.0
0.0009486832980505143,16,3875,0.0,-30925.457399411694,-30666.16287667469,-29982.4419178411,438214.89195762004,-31297.41800207828,22740.240291732636,438633.61981251586,-34527.048209683715,-27279.573421077286,-23620.59673149574,-27016.10732875244,-11578.566667762301,-24507.09900908894,-26671.24707419665,42965.50238741469,162029.48694863127,-34527.048209683715,438633.61981251586,18,car-train_10000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_1000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_11000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_12000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_13000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_14000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_2000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_3000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_4000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_5000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_6000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_7000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_8000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0;car-train_9000_5000000_ss_0.0009486832980505143_m_16_r_3875_e_0.0
9.48683298050514e-05,100,5000,0.0,-26376.7264574592,-21070.72281517962,-23161.66326062517,404525.8335614939,-33032.26381167647,-21658.04853428397,386551.71259238065,-33083.290502799566,-38350.100798810294,-26348.906469738737,-32135.085687459854,102220.45749775601,-26855.071269284166,-31894.42768119263,41380.83545450865,148517.95283385893,-38350.100798810294,404525.8335614939,18,car-train_10000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_1000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_11000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_12000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_13000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_14000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_2000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_3000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_4000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_5000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_6000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_7000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_8000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0;car-train_9000_5000000_ss_9.48683298050514e-05_m_100_r_5000_e_0.0
9.48683298050514e-05,72,3875,0.0,-32119.072413418067,-31023.721274436262,16950.62084255516,-38550.48361520725,411926.7233409407,-22617.44582869819,-25772.09017103979,-29755.153366940773,-22911.446622937834,-19708.382113265325,455202.2624443581,-26705.44175046724,-25712.00472218861,-33096.356847301104,41150.57199299668,160889.7693862242,-38550.48361520725,455202.2624443581,18,car-train_10000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_1000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_11000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_12000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_13000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_14000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_2000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_3000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_4000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_5000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_6000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_7000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_8000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0;car-train_9000_5000000_ss_9.48683298050514e-05_m_72_r_3875_e_0.0
9.48683298050514e-05,44,3875,0.0,-24450.88997732767,466820.71816456364,-21302.635192690224,-21648.060493331286,-35661.66840642821,270163.3346018756,-21945.040794932807,-27982.203066704496,-21728.316045755386,3938.1066125339967,-21432.9090801848,83720.72711335728,-25925.17800675579,-32632.58499039518,40709.528602701765,141789.0482148226,-35661.66840642821,466820.71816456364,18,car-train_10000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_1000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_11000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_12000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_13000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_14000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_2000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_3000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_4000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_5000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_6000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_7000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_8000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0;car-train_9000_5000000_ss_9.48683298050514e-05_m_44_r_3875_e_0.0
3.0000000000000014e-05,128,5000,0.0,-30055.475029967933,-30326.35437745441,335232.8550435805,-27858.362132684157,-36186.35834260291,-27544.728722405343,220013.16592167443,-38115.26055991081,117910.81924886754,79232.56190091277,99573.55797431267,-36443.29138737183,-36290.98557201546,-26413.224574955853,40194.922813569945,112670.98794718616,-38115.26055991081,335232.8550435805,18,car-train_10000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_1000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_11000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_12000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_13000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_14000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_2000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_3000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_4000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_5000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_6000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_7000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_8000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0;car-train_9000_5000000_ss_3.0000000000000014e-05_m_128_r_5000_e_0.0
