ss,bs,tu,e,rb,ar,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,mean_auc,std_auc,min_auc,max_auc,n_seeds,file_name
0.0001,64,100,0.1,1000000,7,,203719.36714532718,,,,,,,,,203719.36714532718,0.0,0.0,203719.36714532718,5,car-train_2000_1000000_ss_0.0001_bs_64_tu_100_e_0.1_rb_1000000_ar_7
0.0001,64,100,0.1,2000000,7,,203719.36714532718,,,,,,,,,203719.36714532718,0.0,0.0,203719.36714532718,5,car-train_2000_1000000_ss_0.0001_bs_64_tu_100_e_0.1_rb_2000000_ar_7
0.0001,128,500,0.1,1000000,7,,,,,,,200464.1283285855,,,,200464.1283285855,0.0,0.0,200464.1283285855,5,car-train_7000_1000000_ss_0.0001_bs_128_tu_500_e_0.1_rb_1000000_ar_7
0.0001,128,500,0.1,2000000,7,,,,,,,200464.1283285855,,,,200464.1283285855,0.0,0.0,200464.1283285855,5,car-train_7000_1000000_ss_0.0001_bs_128_tu_500_e_0.1_rb_2000000_ar_7
0.0001,128,100,0.01,1000000,7,,,194224.9405221092,,,,,,,,194224.9405221092,0.0,0.0,194224.9405221092,5,car-train_3000_1000000_ss_0.0001_bs_128_tu_100_e_0.01_rb_1000000_ar_7
0.0001,256,100,0.1,1000000,3,,,,,,,,,187734.99697863837,,187734.99697863837,0.0,0.0,187734.99697863837,5,car-train_9000_1000000_ss_0.0001_bs_256_tu_100_e_0.1_rb_1000000_ar_3
0.0001,256,100,0.1,2000000,3,,,,,,,,,187734.99697863837,,187734.99697863837,0.0,0.0,187734.99697863837,5,car-train_9000_1000000_ss_0.0001_bs_256_tu_100_e_0.1_rb_2000000_ar_3
0.0001,128,1000,0.1,2000000,7,,,186134.49747994484,,,,,,,,186134.49747994484,0.0,0.0,186134.49747994484,5,car-train_3000_1000000_ss_0.0001_bs_128_tu_1000_e_0.1_rb_2000000_ar_7
0.0001,64,1000,0.1,1000000,3,,,,,,,181603.55878969756,,,,181603.55878969756,0.0,0.0,181603.55878969756,5,car-train_7000_1000000_ss_0.0001_bs_64_tu_1000_e_0.1_rb_1000000_ar_3
0.0001,128,500,0.1,2000000,5,,170649.30648923456,,,,,,,,,170649.30648923456,0.0,0.0,170649.30648923456,5,car-train_2000_1000000_ss_0.0001_bs_128_tu_500_e_0.1_rb_2000000_ar_5
0.0001,128,1000,0.1,1000000,7,135551.63646516151,,,,,,,,,,135551.63646516151,0.0,0.0,135551.63646516151,5,car-train_1000_1000000_ss_0.0001_bs_128_tu_1000_e_0.1_rb_1000000_ar_7
0.0001,256,500,0.1,2000000,7,,,158807.86583097393,,,107674.64211573196,,,,,133241.25397335296,25566.611857620985,25566.611857620985,158807.86583097393,6,car-train_3000_1000000_ss_0.0001_bs_256_tu_500_e_0.1_rb_2000000_ar_7;car-train_6000_1000000_ss_0.0001_bs_256_tu_500_e_0.1_rb_2000000_ar_7
0.0001,256,500,0.1,1000000,7,,,158807.86583097393,,,107674.64211573196,,,,,133241.25397335296,25566.611857620985,25566.611857620985,158807.86583097393,6,car-train_3000_1000000_ss_0.0001_bs_256_tu_500_e_0.1_rb_1000000_ar_7;car-train_6000_1000000_ss_0.0001_bs_256_tu_500_e_0.1_rb_1000000_ar_7
0.0001,256,1000,0.1,1000000,5,,,,,,,,,129092.41881700899,,129092.41881700899,0.0,0.0,129092.41881700899,5,car-train_9000_1000000_ss_0.0001_bs_256_tu_1000_e_0.1_rb_1000000_ar_5
0.0001,256,1000,0.1,2000000,5,,,,,,,,,129092.41881700899,,129092.41881700899,0.0,0.0,129092.41881700899,5,car-train_9000_1000000_ss_0.0001_bs_256_tu_1000_e_0.1_rb_2000000_ar_5
0.0001,256,500,0.01,2000000,7,,126045.14451210217,,,,,,,,,126045.14451210217,0.0,0.0,126045.14451210217,5,car-train_2000_1000000_ss_0.0001_bs_256_tu_500_e_0.01_rb_2000000_ar_7
0.0001,256,500,0.01,1000000,7,,126045.14451210217,,,,,,,,,126045.14451210217,0.0,0.0,126045.14451210217,5,car-train_2000_1000000_ss_0.0001_bs_256_tu_500_e_0.01_rb_1000000_ar_7
0.0001,256,1000,0.01,2000000,7,,,,,206551.38011580112,,19747.964665125997,,,,113149.67239046356,93401.70772533756,19747.964665125997,206551.38011580112,6,car-train_5000_1000000_ss_0.0001_bs_256_tu_1000_e_0.01_rb_2000000_ar_7;car-train_7000_1000000_ss_0.0001_bs_256_tu_1000_e_0.01_rb_2000000_ar_7
0.001,128,500,0.01,2000000,3,,,197620.57505890698,,,,,,26059.511140418843,,111840.04309966291,85780.53195924408,26059.511140418843,197620.57505890698,6,car-train_3000_1000000_ss_0.001_bs_128_tu_500_e_0.01_rb_2000000_ar_3;car-train_9000_1000000_ss_0.001_bs_128_tu_500_e_0.01_rb_2000000_ar_3
0.001,128,500,0.01,1000000,3,,,197620.57505890698,,,,,,26059.511140418843,,111840.04309966291,85780.53195924408,26059.511140418843,197620.57505890698,6,car-train_3000_1000000_ss_0.001_bs_128_tu_500_e_0.01_rb_1000000_ar_3;car-train_9000_1000000_ss_0.001_bs_128_tu_500_e_0.01_rb_1000000_ar_3
0.0001,256,500,0.01,1000000,5,,,,105112.47029043874,,,,,,,105112.47029043874,0.0,0.0,105112.47029043874,5,car-train_4000_1000000_ss_0.0001_bs_256_tu_500_e_0.01_rb_1000000_ar_5
